index,btsp_val,other_val,total_val
0,1097.4025974025974,1064.935064935065,2162.337662337662
1,675.3246753246754,506.4935064935065,1181.8181818181818
2,246.75324675324674,194.80519480519482,441.55844155844153
3,201.2987012987013,77.92207792207792,279.2207792207792
4,123.37662337662337,103.8961038961039,227.27272727272728
5,110.38961038961038,84.41558441558442,194.80519480519482
6,97.40259740259741,90.9090909090909,188.3116883116883
7,97.40259740259741,51.94805194805195,149.35064935064935
8,58.44155844155844,32.467532467532465,90.9090909090909
9,58.44155844155844,38.96103896103896,97.40259740259741
10,38.96103896103896,58.44155844155844,97.40259740259741
11,25.974025974025974,19.48051948051948,45.45454545454545
12,32.467532467532465,12.987012987012987,45.45454545454545
13,19.48051948051948,12.987012987012987,32.467532467532465
14,12.987012987012987,25.974025974025974,38.96103896103896
